현토,시제,건수,비율
잇고,미래/추측,22,14.864864864864865
잇가,현재,264,24.81203007518797
잇가,미래/추측,262,24.62406015037594
잇가,의문,387,36.37218045112782
잇가,과거,151,14.191729323308271
라하나이다,과거,22,34.92063492063492
라하나이다,현재,34,53.96825396825397
라하나이다,미래/추측,5,7.936507936507936
라하나이다,의문,2,3.1746031746031744
이니이다,과거,435,27.479469361970942
이니이다,현재,921,58.18066961465572
이니이다,미래/추측,121,7.643714466203411
이니이다,의문,106,6.696146557169931
하노이다,현재,185,56.23100303951368
하노이다,미래/추측,32,9.72644376899696
하노이다,과거,98,29.78723404255319
하노이다,의문,14,4.25531914893617
이라하니라,현재,152,38.19095477386934
이라하니라,미래/추측,64,16.08040201005025
이라하니라,의문,13,3.2663316582914574
이라하니라,과거,169,42.462311557788944
이라하니이다,과거,39,36.44859813084112
이라하니이다,현재,52,48.598130841121495
이라하니이다,미래/추측,11,10.2803738317757
이라하니이다,의문,5,4.672897196261682
라하니라,현재,337,38.69115958668197
라하니라,의문,29,3.329506314580941
라하니라,과거,316,36.28013777267508
라하니라,미래/추측,189,21.699196326061998
로소이다,현재,109,53.170731707317074
로소이다,미래/추측,28,13.658536585365855
로소이다,과거,52,25.365853658536587
로소이다,의문,16,7.804878048780488
리잇가,미래/추측,97,30.89171974522293
리잇가,의문,99,31.528662420382165
리잇가,과거,30,9.554140127388536
리잇가,현재,88,28.02547770700637
이로소이다,현재,47,48.45360824742268
이로소이다,과거,31,31.958762886597935
이로소이다,미래/추측,11,11.34020618556701
이로소이다,의문,8,8.24742268041237
하시니이다,현재,66,55.46218487394958
하시니이다,미래/추측,11,9.243697478991598
하시니이다,의문,13,10.92436974789916
하시니이다,과거,29,24.369747899159663
하리이다,현재,104,51.48514851485149
하리이다,미래/추측,40,19.801980198019802
하리이다,과거,40,19.801980198019802
하리이다,의문,18,8.91089108910891
이리이다,현재,63,67.02127659574468
이리이다,의문,9,9.574468085106384
이리이다,과거,14,14.893617021276595
이리이다,미래/추측,8,8.51063829787234
라하니이다,과거,76,38.19095477386934
라하니이다,현재,92,46.231155778894475
라하니이다,의문,10,5.025125628140704
라하니이다,미래/추측,21,10.552763819095476
고,과거,60,20.408163265306122
고,현재,85,28.91156462585034
고,의문,92,31.292517006802722
고,미래/추측,57,19.387755102040817
하시니라,과거,38,26.573426573426573
하시니라,현재,54,37.76223776223776
하시니라,미래/추측,45,31.46853146853147
하시니라,의문,6,4.195804195804196
에,과거,33,50.0
에,현재,21,31.818181818181817
에,의문,4,6.0606060606060606
에,미래/추측,8,12.121212121212121
호리이다,현재,23,43.39622641509434
호리이다,미래/추측,18,33.9622641509434
호리이다,과거,10,18.867924528301888
호리이다,의문,2,3.7735849056603774
이라하나이다,과거,13,21.666666666666668
이라하나이다,현재,29,48.333333333333336
이라하나이다,미래/추측,10,16.666666666666664
이라하나이다,의문,8,13.333333333333334
리이다,과거,108,25.837320574162682
리이다,현재,241,57.655502392344495
리이다,미래/추측,39,9.330143540669857
리이다,의문,30,7.177033492822966
이리잇가,현재,49,26.6304347826087
이리잇가,미래/추측,56,30.434782608695656
이리잇가,의문,58,31.521739130434785
이리잇가,과거,21,11.41304347826087
하리니,현재,96,50.0
하리니,과거,24,12.5
하리니,미래/추측,49,25.520833333333332
하리니,의문,23,11.979166666666668
이리라,현재,67,38.95348837209303
이리라,과거,40,23.25581395348837
이리라,미래/추측,46,26.744186046511626
이리라,의문,19,11.046511627906977
로이다,현재,32,44.44444444444444
로이다,미래/추측,9,12.5
로이다,과거,27,37.5
로이다,의문,4,5.555555555555555
이릿가,현재,34,22.36842105263158
이릿가,미래/추측,44,28.947368421052634
이릿가,의문,44,28.947368421052634
이릿가,과거,30,19.736842105263158
