x,y,boundary_type,cluster_id,z
12.476836,-8.226147,Sentence,1,9.764868
12.948873,-7.0696397,Sentence,2,9.858534
12.077653,-5.3479786,Sentence,0,10.5974865
12.471593,-5.419419,Sentence,2,10.01318
11.938779,-8.7123375,Sentence,1,9.104491
10.431061,-6.2486777,Sentence,0,9.290555
12.667831,-8.272563,Sentence,1,8.937015
12.73827,-6.6233935,Sentence,2,10.6288595
12.84891,-7.171753,Sentence,0,8.408677
12.621285,-7.343404,Sentence,2,10.136967
12.078486,-6.1784644,Sentence,2,8.837435
12.0460825,-6.578444,Sentence,0,7.45034
9.893434,6.525448,Sentence,0,6.8829226
11.202942,-8.529458,Sentence,1,9.119913
11.143198,-8.626322,Sentence,1,8.82242
11.625528,-8.513545,Sentence,1,9.409638
12.269289,-8.251923,Sentence,0,7.6725097
12.358009,-7.02586,Sentence,2,9.126616
10.530455,-7.024752,Sentence,1,9.738573
12.219255,-6.770235,Sentence,2,10.005478
11.5085125,-5.7934155,Sentence,0,8.599518
10.988358,-4.9806776,Sentence,0,7.0742035
11.595354,-7.6701183,Sentence,1,9.628185
12.509123,-4.7499604,Sentence,2,10.009388
6.737297,-2.7988064,Sentence,0,14.415439
10.886392,-8.328056,Sentence,1,9.262564
12.843825,-6.874783,Sentence,2,9.961458
10.427556,-8.593303,Sentence,0,8.537285
12.381032,-8.365422,Sentence,1,9.8074255
11.284391,-6.21966,Sentence,0,6.6751914
13.133578,-6.2782483,Sentence,2,9.296206
12.279602,-7.2984242,Sentence,0,7.6463194
12.301229,-8.378841,Sentence,1,8.221661
11.724967,-8.729909,Sentence,1,9.438319
12.320383,-5.5816846,Sentence,2,10.369073
12.314823,-5.391906,Sentence,2,10.731875
11.464321,-6.0729904,Sentence,2,9.64338
10.228806,-5.523746,Sentence,0,8.208589
11.003405,-8.732856,Sentence,1,8.6887455
12.57575,-7.8919325,Sentence,1,8.779958
12.075667,-8.308619,Sentence,1,9.576889
12.329604,-4.719161,Sentence,2,9.872861
10.6008835,-8.724702,Sentence,1,9.016252
10.769588,-5.552812,Sentence,0,7.871231
11.289854,-4.6436925,Sentence,2,11.024426
10.630953,-6.195597,Sentence,0,8.993106
12.992182,-7.605556,Sentence,1,9.547775
11.454761,-8.26524,Sentence,1,8.476052
12.017945,-7.8556247,Sentence,1,10.391469
12.9465885,-5.9026647,Sentence,2,8.867774
13.22695,-7.2732897,Sentence,2,9.86974
11.073585,-8.637375,Sentence,1,9.50047
