x,y,boundary_type,cluster_id
6.4095764,-3.1279423,Sentence,0
7.603769,-3.8126776,Sentence,2
7.7315826,-4.8525796,Sentence,2
8.261529,-4.8552256,Sentence,2
7.948207,-4.2218466,Sentence,1
8.528165,-4.4933996,Sentence,1
10.130104,-1.7079717,Sentence,1
6.416057,-3.2727342,Sentence,1
10.434147,-2.652667,Sentence,2
9.144942,-4.629901,Sentence,2
8.521132,-3.7078106,Sentence,1
8.92009,-1.0523285,Sentence,0
9.584205,-2.0670717,Sentence,1
7.596592,-3.7787683,Sentence,1
6.8674946,-4.6778417,Sentence,2
7.3591695,-3.7274747,Sentence,1
6.799651,8.025119,Sentence,0
7.538859,-3.2552357,Sentence,2
10.508182,-0.93407303,Sentence,1
7.4030313,-3.2451062,Sentence,1
6.672111,-3.9221826,Sentence,1
8.664845,-5.333994,Sentence,2
9.216334,-2.384475,Sentence,0
9.907562,-3.8398688,Sentence,1
10.671348,-4.8142815,Sentence,2
7.1743064,-0.46280447,Sentence,0
6.591566,-3.8306682,Sentence,2
9.259337,-0.6078289,Sentence,0
8.093578,-1.2308339,Sentence,1
6.2232757,0.5188039,Sentence,0
8.617646,-3.2845469,Sentence,1
8.022247,-3.649081,Sentence,1
8.022997,-3.081294,Sentence,2
8.38184,-3.1797686,Sentence,1
8.923587,-4.32828,Sentence,2
6.1834807,-0.40067732,Sentence,0
6.6729045,-3.4496596,Sentence,1
7.037811,-3.8125165,Sentence,1
6.7443986,-4.543848,Sentence,1
7.54872,-4.897791,Sentence,2
9.2918415,-5.798413,Sentence,2
8.29471,-4.927885,Sentence,2
8.5566025,-5.2740803,Sentence,2
7.231368,-1.7772623,Sentence,0
7.10122,-4.3312674,Sentence,1
9.42119,-2.544719,Sentence,0
7.3014116,-0.24561879,Sentence,0
6.221277,-5.026993,Sentence,0
10.225189,-2.225905,Sentence,1
9.937953,-1.3129267,Sentence,0
8.593652,-1.999788,Sentence,0
8.138869,-5.229103,Sentence,2
7.0332813,-4.312066,Sentence,1
8.048566,-2.8454278,Sentence,2
8.356533,-3.792448,Sentence,1
5.802389,-3.0743232,Sentence,2
8.136138,-4.627389,Sentence,1
11.877247,-3.8292189,Sentence,0
6.1601105,-0.009215946,Sentence,0
10.14898,-4.6477056,Sentence,2
7.115192,-4.6206737,Sentence,1
10.35945,-4.2108855,Sentence,2
9.5068655,-3.4010708,Sentence,2
7.2154565,2.1868222,Sentence,0
7.2179484,-4.6177945,Sentence,1
7.5058603,-2.2003145,Sentence,0
7.248256,0.7305023,Sentence,0
7.1360846,-1.3411655,Sentence,0
7.9832277,-4.898068,Sentence,2
8.193874,-4.790831,Sentence,1
6.889039,-3.9670327,Sentence,1
8.724252,-4.4725327,Sentence,2
7.4375896,-1.7059449,Sentence,0
6.9266715,-1.9662368,Sentence,0
6.9200287,-3.284379,Sentence,1
8.904178,-4.6942997,Sentence,2
4.8144684,-0.6624452,Sentence,0
8.507192,-4.277737,Sentence,2
6.051275,0.24611299,Sentence,0
8.835582,-5.132962,Sentence,2
7.368838,-4.1166196,Sentence,1
6.450307,-3.1561043,Sentence,1
9.791006,-2.4434621,Sentence,1
8.462587,-1.9774457,Sentence,0
7.45418,-3.7510746,Sentence,1
8.214302,-4.6652007,Sentence,2
10.336148,-5.1767797,Sentence,2
8.024778,-4.282088,Sentence,1
9.26594,-4.423786,Sentence,2
8.020906,-5.268692,Sentence,2
8.090595,-5.217358,Sentence,2
7.764247,-4.7529087,Sentence,1
8.160805,-5.2270274,Sentence,2
10.259479,-4.343321,Sentence,0
9.893473,-4.5913353,Sentence,2
7.5770435,-3.9651692,Sentence,1
