x,y,boundary_type,cluster_id,z
14.95575,13.832242,Sentence,3,11.38493
13.5755625,13.912716,Sentence,1,10.408505
14.550547,15.962056,Sentence,1,8.704321
14.323594,14.550961,Sentence,1,10.670776
12.773933,16.04562,Sentence,0,8.94767
12.526088,15.154124,Sentence,2,10.069156
12.348689,15.494128,Sentence,0,8.944199
11.638236,13.312109,Sentence,1,9.3266945
13.063954,16.87696,Sentence,2,10.394425
11.488615,16.895235,Sentence,2,10.973884
13.863701,16.23197,Sentence,2,9.555756
13.7467985,16.8439,Sentence,2,9.814752
12.071949,15.996602,Sentence,0,8.978244
13.158682,16.764618,Sentence,2,10.046545
15.423702,11.942469,Sentence,1,11.056157
14.10528,14.329151,Sentence,1,9.244649
11.659154,16.413952,Sentence,2,10.609289
13.376589,16.940414,Sentence,2,9.881312
13.715965,14.730012,Sentence,2,10.850156
13.796171,14.659968,Sentence,1,10.562655
12.858765,16.626036,Sentence,2,9.485688
13.508515,14.62939,Sentence,1,10.334904
12.765839,16.552015,Sentence,2,9.049254
11.598267,16.66875,Sentence,3,12.00601
13.490238,14.542992,Sentence,2,9.815633
12.919656,14.856088,Sentence,0,9.46846
12.474018,16.31831,Sentence,2,8.921346
12.918426,16.843306,Sentence,2,9.0862465
12.902064,13.410351,Sentence,1,8.946785
11.985714,13.751438,Sentence,0,9.427121
12.31979,15.740124,Sentence,0,8.62002
12.673056,16.400639,Sentence,2,9.639833
13.277505,13.821742,Sentence,3,11.303
12.507969,14.072446,Sentence,0,9.074449
14.420122,15.85929,Sentence,1,8.853803
13.9499235,15.914895,Sentence,2,9.501444
14.656451,13.825951,Sentence,3,11.406388
14.277699,14.674217,Sentence,3,11.21192
11.6558485,13.486316,Sentence,0,8.495829
13.177213,16.601156,Sentence,2,9.162817
11.813779,16.932112,Sentence,2,10.656725
12.033374,14.198545,Sentence,0,9.754752
13.456394,12.229298,Sentence,1,8.14304
12.206556,14.855714,Sentence,0,8.589052
11.64108,16.564722,Sentence,2,10.582657
12.991161,16.816639,Sentence,2,9.39173
13.00478,16.206564,Sentence,0,9.158754
13.213462,14.438988,Sentence,1,9.706991
13.851378,16.667664,Sentence,2,9.785315
13.452597,15.374948,Sentence,0,8.759677
12.785537,15.93551,Sentence,2,10.039613
11.990042,17.095201,Sentence,2,11.151493
13.376487,15.246688,Sentence,1,10.762788
11.404633,12.37154,Sentence,1,9.220913
12.711286,9.813775,Sentence,1,1.5839914
15.06635,13.843019,Sentence,1,10.087901
12.045623,11.575358,Sentence,3,9.42556
13.582761,16.295952,Sentence,2,9.452483
12.066496,16.957714,Sentence,2,10.943051
13.221122,16.312302,Sentence,2,9.940833
13.676693,16.505486,Sentence,2,9.900098
11.811338,16.629078,Sentence,2,11.32042
14.380973,15.493739,Sentence,2,10.159345
12.316816,16.275356,Sentence,2,8.906319
12.972411,16.377966,Sentence,0,8.974862
14.319543,14.520886,Sentence,1,10.129723
12.318509,15.366572,Sentence,0,8.602961
14.037379,15.050035,Sentence,1,8.822949
12.956238,15.605044,Sentence,0,9.227518
13.674912,12.288953,Sentence,2,7.1117873
12.591923,16.282803,Sentence,0,8.852576
11.025979,12.442899,Sentence,1,8.717071
12.37963,15.960365,Sentence,2,10.263206
14.147185,14.441624,Sentence,0,8.625263
13.199677,16.061817,Sentence,2,9.349401
12.2039,15.686923,Sentence,0,8.5574
12.505853,17.199928,Sentence,3,11.278112
14.100541,14.557195,Sentence,1,10.011491
13.501985,15.529367,Sentence,2,10.521089
14.177796,16.11925,Sentence,2,9.107526
12.577832,14.393183,Sentence,0,8.442594
12.973617,16.690748,Sentence,2,10.220995
15.057635,13.696023,Sentence,3,10.392608
12.744634,16.19133,Sentence,2,9.098125
13.2029705,16.579777,Sentence,2,9.345723
13.733201,15.752601,Sentence,2,8.859276
12.593157,15.860465,Sentence,0,8.822651
12.068712,15.879235,Sentence,0,9.390333
12.959426,13.464494,Sentence,3,11.133981
13.595131,16.346643,Sentence,2,9.582965
12.146489,15.976906,Sentence,0,8.794991
15.252162,13.755043,Sentence,3,10.095598
13.289844,15.584284,Sentence,1,10.069257
12.416955,15.082541,Sentence,2,10.638484
12.394908,16.948692,Sentence,2,10.745127
12.366051,16.060379,Sentence,2,11.034867
13.945279,15.1344385,Sentence,2,11.167368
