saseo,samgyeong,other,composite_score,saseo_purity,separation,marker_diff,p6_def_score
3.0,2.0,1.2,0.4973268625459073,0.4367196367763905,0.1456758556950265,0.5855,0.8511680303569341
3.0,2.0,1.5,0.4972707989291738,0.4367196367763905,0.1462680886202985,0.5855,0.850351542964728
4.0,3.5,1.8,0.4972032388356237,0.4367196367763905,0.14404878726337791,0.5855,0.8523006039474481
3.0,2.0,1.8,0.49720130630998816,0.4367196367763905,0.14679416300587572,0.5855,0.8495474981024085
4.0,3.5,2.0,0.49719924358594847,0.4367196367763905,0.14441951977227174,0.5855,0.8519138904398535
4.0,3.5,1.5,0.4971982753563748,0.4367196367763905,0.14344359764189615,0.5855,0.8528859396519344
4.0,3.5,1.2,0.4971775242948825,0.4367196367763905,0.1427688468893648,0.5855,0.8534776861584966
4.0,3.5,2.5,0.4971685445091613,0.4367196367763905,0.14525144026995437,0.5855,0.8509591736350222
4.0,3.5,1.0,0.49715306985240876,0.4367196367763905,0.14227291769125833,0.5855,0.853875797586708
3.0,2.0,2.0,0.4971489985469456,0.4367196367763905,0.14711418908945856,0.5855,0.849018240966655
3.0,2.5,1.0,0.4968654208555896,0.4367196367763905,0.14413978014205064,0.5855,0.8508583391486392
4.0,4.0,2.0,0.49686157017869315,0.4367196367763905,0.14368688851736444,0.5855,0.8512958280657396
4.0,4.0,1.8,0.4968590290918624,0.4367196367763905,0.14330951953013413,0.5855,0.851663032705647
3.0,2.5,1.2,0.49685088606348327,0.4367196367763905,0.14459413718218006,0.5855,0.8503458429400844
4.0,4.0,2.5,0.49684686816370394,0.4367196367763905,0.14453514258570224,0.5855,0.850388765937445
4.0,4.0,1.5,0.49684413331471455,0.4367196367763905,0.14269435548675055,0.5855,0.8522186136404392
3.0,2.5,1.5,0.4968145001699015,0.4367196367763905,0.14520811553304488,0.5855,0.8495863210148924
4.0,4.0,1.2,0.49681333346230017,0.4367196367763905,0.14200976651291536,0.5855,0.8527800032046168
4.0,4.0,1.0,0.4967821487858186,0.4367196367763905,0.14150749593904902,0.5855,0.853157535072557
3.0,2.5,1.8,0.49676406120042005,0.4367196367763905,0.1457550256222338,0.5855,0.848837655047778
3.0,2.5,2.0,0.49672411407610273,0.4367196367763905,0.14608843107450012,0.5855,0.8483444610982422
3.0,2.5,2.5,0.49660692497462305,0.4367196367763905,0.1468324363324042,0.5855,0.8471316994344196
2.0,1.0,1.0,0.4964774303584598,0.4367196367763905,0.1478122515659632,0.5855,0.8456339057362076
3.0,3.0,1.0,0.4964370483139097,0.4367196367763905,0.14318487064449942,0.5855,0.8500997584794707
3.0,3.0,1.2,0.49643398848063686,0.4367196367763905,0.14365131625300973,0.5855,0.8496210735378691
3.0,3.0,1.5,0.4964144357526793,0.4367196367763905,0.1442830256618243,0.5855,0.8489111532172243
3.0,3.0,1.8,0.49638035134742065,0.4367196367763905,0.1448470544167254,0.5855,0.8482107868412885
3.0,3.0,2.0,0.4963510390518633,0.4367196367763905,0.14519150321997604,0.5855,0.8477490888558082
3.0,3.0,2.5,0.4962595184089894,0.4367196367763905,0.1459618232591437,0.5855,0.8466126862451455
2.0,1.5,1.0,0.49592028047408354,0.4367196367763905,0.14628936176251328,0.5855,0.8449281960021521
2.0,1.5,1.2,0.4958380476382892,0.4367196367763905,0.1466761104992278,0.5855,0.8442125159222603
2.0,1.5,1.5,0.49570401964946803,0.4367196367763905,0.14719453414260014,0.5855,0.8431579803236036
2.0,2.0,1.0,0.4954637853108568,0.4367196367763905,0.1450480281144072,0.5855,0.8443435489973515
2.0,2.0,1.2,0.4954032939905539,0.4367196367763905,0.14545693403773174,0.5855,0.8436926777928153
2.0,2.0,1.5,0.4953006332959793,0.4367196367763905,0.1460067896366523,0.5855,0.8427321794155965
2.0,2.0,1.8,0.4951870179846155,0.4367196367763905,0.14649434338889467,0.5855,0.8417901644178989
2.0,2.0,2.0,0.495106601278381,0.4367196367763905,0.14679067980969412,0.5855,0.8411721611721612
1.0,1.0,1.0,0.49216277918388573,0.4367196367763905,0.14669134458653973,0.5855,0.8294962080173348
