marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
인댄,652,557,119,p9_c8:42;p9_c7:27;p3_c8:25;p2_c12:22;p9_c12:20,-0.22047602,0.012277955,p9_c8,pca,parent_child,none
일새,650,632,124,p14_c8:44;p2_c12:28;p14_c7:22;p3_c1:21;p14_c2:19,-0.036132924,-0.074306384,p14_c8,pca,parent_child,none
리이다,562,545,83,p0_c4:76;p9_c5:46;p9_c2:39;p2_c1:27;p9_c8:25,0.02549859,0.47611848,p0_c4,pca,parent_child,none
인저,538,519,136,p6_c15:23;p13_c0:17;p12_c11:16;p12_c4:15;p13_c1:13,-0.13540313,-0.2759973,p6_c15,pca,parent_child,none
이어든,530,477,115,p2_c12:32;p9_c8:18;p14_c7:17;p3_c12:17;p2_c1:16,-0.1188064,-0.0449445,p2_c12,pca,parent_child,none
하여는,524,499,105,p2_c12:39;p3_c8:39;p2_c1:19;p9_c15:19;p13_c0:18,-0.3286338,-0.09907141,p2_c12,pca,parent_child,none
이며,520,463,113,p13_c9:23;p3_c13:23;p3_c1:20;p13_c13:18;p3_c9:17,-0.27473557,-0.100139774,p13_c9,pca,parent_child,none
히,516,489,106,p3_c8:38;p14_c8:30;p3_c4:21;p14_c4:18;p3_c3:18,-0.06483377,0.035410706,p3_c8,pca,parent_child,none
리니,510,501,109,p9_c8:34;p9_c7:26;p2_c12:24;p13_c2:22;p0_c7:21,-0.21630695,0.048639186,p9_c8,pca,parent_child,none
이러라,507,501,86,p14_c8:34;p14_c2:33;p2_c13:28;p2_c8:26;p5_c3:25,0.3719865,-0.13743107,p14_c8,pca,parent_child,none
여,468,418,89,p12_c11:131;p12_c4:36;p5_c14:23;p3_c8:19;p3_c4:18,0.059843194,-0.20390235,p12_c11,pca,parent_child,none
로라,463,452,114,p12_c10:14;p0_c15:13;p5_c9:12;p11_c14:11;p12_c4:11,0.053188983,-0.042773616,p12_c10,pca,parent_child,none
이오,463,394,111,p11_c15:21;p3_c12:20;p9_c1:17;p0_c5:13;p13_c0:13,-0.09407381,-0.07177891,p11_c15,pca,parent_child,none
하노이다,458,452,91,p12_c10:25;p0_c4:24;p5_c2:19;p2_c1:17;p0_c5:15,0.12089093,0.36881804,p12_c10,pca,parent_child,none
이라하니라,437,432,103,p6_c1:27;p14_c6:21;p11_c7:18;p2_c13:16;p8_c12:16,0.068917155,-0.33942398,p6_c1,pca,parent_child,none
라하다,424,418,85,p11_c10:51;p11_c4:43;p11_c5:40;p11_c8:33;p5_c6:21,0.54856104,-0.115012035,p11_c10,pca,parent_child,none
고,394,380,114,p12_c4:35;p12_c11:23;p3_c12:20;p11_c14:19;p5_c14:16,0.046271652,-0.075421795,p12_c4,pca,parent_child,none
하얀,354,330,87,p14_c8:19;p3_c12:16;p3_c8:16;p14_c12:15;p3_c4:15,-0.07138626,0.13095684,p14_c8,pca,parent_child,none
의,332,305,98,p3_c8:33;p3_c1:18;p3_c12:15;p3_c3:11;p3_c4:11,-0.07217123,-0.028725876,p3_c8,pca,parent_child,none
일새라,307,306,74,p6_c8:86;p4_c12:21;p13_c3:13;p13_c0:11;p1_c5:10,-0.19330938,-0.24560168,p6_c8,pca,parent_child,none
시니라,305,304,85,p8_c12:48;p8_c15:14;p13_c1:13;p2_c3:11;p9_c0:10,-0.26224455,-0.40169832,p8_c12,pca,parent_child,none
라야,293,282,106,p13_c0:12;p9_c9:9;p13_c2:8;p3_c12:8;p2_c12:7,-0.27721596,-0.07140713,p13_c0,pca,parent_child,none
이라하여,279,270,60,p2_c13:79;p2_c2:26;p2_c12:23;p2_c1:17;p2_c3:11,0.13248345,-0.11352912,p2_c13,pca,parent_child,none
하노니,272,269,93,p12_c4:15;p2_c12:12;p1_c3:9;p2_c13:9;p2_c3:9,0.026968783,-0.06533812,p12_c4,pca,parent_child,none
이로다,269,252,90,p12_c4:19;p5_c2:17;p12_c10:14;p12_c11:14;p5_c14:10,0.15635397,-0.09015876,p12_c4,pca,parent_child,none
하리이다,267,261,72,p9_c5:19;p0_c8:17;p0_c4:16;p9_c8:13;p1_c2:12,0.056296226,0.39620835,p9_c5,pca,parent_child,none
로소이다,250,245,66,p3_c3:21;p9_c5:20;p0_c2:15;p9_c2:13;p14_c8:12,-0.0049534254,0.49210313,p3_c3,pca,parent_child,none
라하시니,245,244,82,p5_c7:13;p13_c2:11;p13_c0:10;p13_c1:10;p2_c12:9,-0.16804872,-0.18304232,p5_c7,pca,parent_child,none
이라야,242,231,91,p13_c2:14;p9_c8:10;p8_c1:8;p9_c7:8;p13_c0:7,-0.27561167,-0.086464725,p13_c2,pca,parent_child,none
이어니와,239,234,86,p9_c7:14;p11_c15:13;p0_c15:9;p4_c5:9;p13_c2:8,-0.14898036,0.05612341,p9_c7,pca,parent_child,none
하야는,239,225,59,p3_c8:15;p3_c3:14;p3_c4:12;p9_c4:12;p9_c5:12,-0.23625195,0.22657396,p3_c8,pca,parent_child,none
하시니라,237,236,88,p8_c12:33;p8_c15:17;p13_c1:10;p2_c3:8;p5_c7:8,-0.10969398,-0.3514865,p8_c12,pca,parent_child,none
라하여,235,233,62,p2_c13:47;p2_c12:22;p2_c3:16;p2_c2:15;p2_c1:13,0.10023235,-0.07949287,p2_c13,pca,parent_child,none
리잇가,230,228,54,p0_c3:60;p9_c7:28;p3_c12:12;p3_c8:10;p9_c8:10,-0.15878148,0.37937933,p0_c3,pca,parent_child,none
라하야,223,216,62,p14_c8:29;p11_c10:20;p3_c7:18;p11_c4:8;p3_c12:8,0.29220176,0.10518999,p14_c8,pca,parent_child,none
이라하야,216,213,63,p14_c8:27;p3_c7:19;p3_c12:11;p14_c15:10;p9_c5:10,0.26336002,0.17533366,p14_c8,pca,parent_child,none
하시면,210,202,53,p9_c5:20;p0_c4:19;p9_c2:15;p2_c1:13;p9_c8:11,-0.035551187,0.47690764,p9_c5,pca,parent_child,none
하나니라,207,200,79,p6_c3:52;p9_c8:9;p3_c12:6;p9_c0:6;p9_c1:6,-0.18712364,-0.15068175,p6_c3,pca,parent_child,none
