marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
언마는,87,86,13,p9:15;p13:12;p2:11;p1:10;p3:10,-0.3358386,-0.042920914,p9,pca,parent,none
리오마는,86,84,13,p9:24;p3:13;p0:12;p1:8;p2:7,-0.22352692,0.15750682,p9,pca,parent,none
호라,86,83,10,p5:18;p11:12;p14:12;p3:9;p1:8,0.2734009,0.039628915,p5,pca,parent,none
이로라,85,84,15,p0:13;p9:13;p5:12;p3:9;p11:8,0.013710242,0.075482376,p0,pca,parent,none
이라하야늘,84,83,10,p11:33;p14:17;p3:9;p5:9;p9:6,0.43366092,0.11001134,p11,pca,parent,none
로이다,83,80,12,p11:15;p6:13;p5:11;p3:9;p0:8,0.20120966,0.003340859,p11,pca,parent,none
일새니이다,83,83,12,p0:26;p9:23;p3:8;p1:5;p12:5,-0.114640154,0.35472426,p0,pca,parent,none
라하더니,75,74,12,p11:33;p3:11;p14:10;p0:5;p5:5,0.3432202,-0.051407546,p11,pca,parent,none
어시늘,74,72,12,p3:18;p2:10;p11:7;p5:7;p9:7,0.04277499,-0.00070892833,p3,pca,parent,none
리오하고,73,73,10,p11:29;p3:11;p5:10;p2:7;p14:5,0.2862842,-0.02568199,p11,pca,parent,none
일새니라,73,72,15,p1:14;p9:12;p13:6;p3:6;p4:6,-0.24278381,-0.14533898,p1,pca,parent,none
리잇고,71,71,8,p9:21;p3:17;p0:12;p11:7;p2:5,0.01261067,0.36209813,p9,pca,parent,none
이로대,71,70,12,p14:11;p3:11;p9:11;p11:8;p0:6,0.0297117,0.07690764,p14,pca,parent,none
론,69,66,12,p3:17;p9:12;p14:10;p0:7;p11:6,-0.06311392,0.08433748,p3,pca,parent,none
하라하니,69,69,11,p11:22;p5:9;p14:8;p7:8;p2:7,0.40866637,-0.04941616,p11,pca,parent,none
인대,68,64,15,p0:13;p11:12;p9:9;p1:5;p2:5,0.036455154,0.049021766,p0,pca,parent,none
하더라,67,66,13,p11:19;p5:12;p7:8;p14:5;p3:5,0.3837166,-0.0813555,p11,pca,parent,none
리오하니,65,65,12,p11:15;p3:10;p9:10;p0:6;p1:5,-0.024650872,0.03542325,p11,pca,parent,none
라하나이다,64,63,10,p9:19;p0:14;p2:9;p3:8;p1:3,-0.048122525,0.4080557,p9,pca,parent,none
라하노이다,63,63,8,p9:22;p0:20;p1:8;p3:6;p2:4,-0.27682185,0.46808216,p9,pca,parent,none
