,라,하고,하여,하니,에,이,는,하야,하다,은,이라,니,로,요,이요,이면,면,이니,니라,하며,가,어늘,한대,아,이나,이어늘,니이다,하니라,으로,러니,이러니,나,를,오,리오,하면,을,호되,로다,라하니,과,로되,이니이다,이니라,러라,할새,이라하니,와,리라,하시니
乃,549,632,870,541,71,239,88,396,855,31,210,170,88,79,54,13,10,99,77,45,18,59,70,78,10,58,34,57,108,32,33,9,4,12,3,16,9,41,17,22,12,11,14,30,23,21,25,9,10,20
州,355,718,598,480,383,448,192,444,788,73,125,43,85,75,40,12,35,37,10,26,137,113,120,8,15,68,18,95,47,145,50,19,27,9,8,10,11,28,3,9,31,14,6,1,26,78,6,38,2,2
民,443,607,661,405,139,750,202,296,100,248,217,107,59,83,84,137,61,115,59,88,65,67,22,29,35,61,69,45,69,28,33,18,60,15,17,36,71,18,14,16,25,24,56,32,24,7,23,13,24,29
又,544,337,711,863,206,153,97,481,151,49,264,79,89,51,27,69,87,92,63,75,44,47,67,94,17,47,59,59,64,28,23,12,19,18,79,35,16,46,22,17,27,5,8,7,9,3,21,12,12,27
出,349,587,644,621,354,138,105,497,332,90,240,82,23,44,75,124,74,62,39,53,31,61,67,25,50,127,30,63,11,52,64,22,24,5,13,43,18,26,6,16,18,18,30,20,14,51,38,12,9,11
必,658,448,305,260,118,36,115,213,10,54,324,246,35,194,184,64,56,235,129,100,22,25,6,32,40,24,90,17,8,19,12,28,8,13,39,6,10,4,22,44,8,36,53,50,10,1,39,2,197,15
欲,397,366,635,452,72,146,179,364,64,48,143,99,75,78,49,133,125,63,51,49,30,200,233,109,127,191,37,22,56,133,113,135,35,17,18,25,26,77,5,27,8,59,21,11,17,19,17,4,6,31
軍,157,779,872,484,218,747,71,324,662,129,150,38,60,19,37,45,31,16,8,30,63,62,109,9,16,72,16,35,107,55,84,13,35,8,8,20,16,32,4,9,28,6,9,1,13,37,2,20,8,1
何,129,97,134,46,49,87,62,54,35,26,20,15,31,29,10,0,7,7,25,14,94,9,9,358,5,8,11,4,29,6,7,9,3,1557,902,0,3,9,5,4,8,1,0,0,4,2,0,5,0,0
乎,436,245,121,147,32,43,91,117,13,31,99,77,17,71,39,40,44,40,73,41,21,15,2,2396,15,9,15,12,4,5,7,21,7,24,167,10,6,2,38,19,11,6,6,16,0,1,10,6,29,6
