표층형,*,*,*,품사태그,의미부류,종성 유무,읽기,*,*,*,*,*
侵責하다,*,*,*,VV,*,F,침책하다,*,*,*,*,*
針尺,*,*,*,NNG,*,T,침척,*,*,*,*,*
針鐵鑛,*,*,*,NNG,*,T,침철광,*,*,*,*,*
針鐵石,*,*,*,NNG,*,T,침철석,*,*,*,*,*
沈靑,*,*,*,NNG,*,T,침청,*,*,*,*,*
砧靑瓷,*,*,*,NNG,*,F,침청자,*,*,*,*,*
沈滯,*,*,*,NNG,*,F,침체,*,*,*,*,*
沈滯,*,*,*,NNG,*,F,침체,*,*,*,*,*
沈滯期,*,*,*,NNG,*,F,침체기,*,*,*,*,*
沈滯되다,*,*,*,VV,*,F,침체되다,*,*,*,*,*
沈滯되다,*,*,*,VV,*,F,침체되다,*,*,*,*,*
沈滯性,*,*,*,NNG,*,T,침체성,*,*,*,*,*
沈滯하다,*,*,*,VV,*,F,침체하다,*,*,*,*,*
沈滯하다,*,*,*,VV,*,F,침체하다,*,*,*,*,*
浸出,*,*,*,NNG,*,T,침출,*,*,*,*,*
浸出,*,*,*,NNG,*,T,침출,*,*,*,*,*
浸出되다,*,*,*,VV,*,F,침출되다,*,*,*,*,*
浸出되다,*,*,*,VV,*,F,침출되다,*,*,*,*,*
沈出水,*,*,*,NNG,*,F,침출수,*,*,*,*,*
浸出液,*,*,*,NNG,*,T,침출액,*,*,*,*,*
浸出液,*,*,*,NNG,*,T,침출액,*,*,*,*,*
浸出劑,*,*,*,NNG,*,F,침출제,*,*,*,*,*
浸出劑,*,*,*,NNG,*,F,침출제,*,*,*,*,*
浸出하다,*,*,*,VV,*,F,침출하다,*,*,*,*,*
浸出하다,*,*,*,VV,*,F,침출하다,*,*,*,*,*
沈醉,*,*,*,NNG,*,F,침취,*,*,*,*,*
沈醉되다,*,*,*,VV,*,F,침취되다,*,*,*,*,*
針嘴魚,*,*,*,NNG,*,F,침취어,*,*,*,*,*
沈醉하다,*,*,*,VV,*,F,침취하다,*,*,*,*,*
鍼治,*,*,*,NNG,*,F,침치,*,*,*,*,*
鍼治하다,*,*,*,VV,*,F,침치하다,*,*,*,*,*
침漆,*,*,*,NNG,*,T,침칠,*,*,*,*,*
침漆하다,*,*,*,VV,*,F,침칠하다,*,*,*,*,*
駸駸,*,*,*,NNG,*,T,침침,*,*,*,*,*
浸浸,*,*,*,NNG,*,T,침침,*,*,*,*,*
沈沈,*,*,*,NNG,*,T,침침,*,*,*,*,*
沈沈,*,*,*,NNG,*,T,침침,*,*,*,*,*
浸沈,*,*,*,NNG,*,T,침침,*,*,*,*,*
沈沈空房,*,*,*,NNG,*,T,침침공방,*,*,*,*,*
沈沈漆夜,*,*,*,NNG,*,F,침침칠야,*,*,*,*,*
沈沈하다,*,*,*,VA,*,F,침침하다,*,*,*,*,*
沈沈하다,*,*,*,VA,*,F,침침하다,*,*,*,*,*
沈沈하다,*,*,*,VA,*,F,침침하다,*,*,*,*,*
浸浸하다,*,*,*,VV,*,F,침침하다,*,*,*,*,*
駸駸하다,*,*,*,VA,*,F,침침하다,*,*,*,*,*
浸沈하다,*,*,*,VV,*,F,침침하다,*,*,*,*,*
沈沈히,*,*,*,MAG,*,F,침침히,*,*,*,*,*
沈沈히,*,*,*,MAG,*,F,침침히,*,*,*,*,*
駸駸히,*,*,*,MAG,*,F,침침히,*,*,*,*,*
沈沈히,*,*,*,MAG,*,F,침침히,*,*,*,*,*
踸踔,*,*,*,NNG,*,T,침탁,*,*,*,*,*
踸踔하다,*,*,*,VV,*,F,침탁하다,*,*,*,*,*
浸炭,*,*,*,NNG,*,T,침탄,*,*,*,*,*
浸炭鋼,*,*,*,NNG,*,T,침탄강,*,*,*,*,*
浸炭爐,*,*,*,NNG,*,F,침탄로,*,*,*,*,*
侵탈,*,*,*,NNG,*,T,침탈,*,*,*,*,*
侵奪,*,*,*,NNG,*,T,침탈,*,*,*,*,*
侵奪物,*,*,*,NNG,*,T,침탈물,*,*,*,*,*
侵탈하다,*,*,*,VV,*,F,침탈하다,*,*,*,*,*
侵奪하다,*,*,*,VV,*,F,침탈하다,*,*,*,*,*
浸怠,*,*,*,NNG,*,F,침태,*,*,*,*,*
浸怠하다,*,*,*,VV,*,F,침태하다,*,*,*,*,*
沈痛,*,*,*,NNG,*,T,침통,*,*,*,*,*
針筒,*,*,*,NNG,*,T,침통,*,*,*,*,*
針筩,*,*,*,NNG,*,T,침통,*,*,*,*,*
鍼筒,*,*,*,NNG,*,T,침통,*,*,*,*,*
鍼筩,*,*,*,NNG,*,T,침통,*,*,*,*,*
針筒노리개,*,*,*,NNG,*,F,침통노리개,*,*,*,*,*
沈痛스럽다,*,*,*,VA,*,F,침통스럽다,*,*,*,*,*
沈痛스레,*,*,*,MAG,*,F,침통스레,*,*,*,*,*
沈痛하다,*,*,*,VA,*,F,침통하다,*,*,*,*,*
沈痛히,*,*,*,MAG,*,F,침통히,*,*,*,*,*
浸透,*,*,*,NNG,*,F,침투,*,*,*,*,*
浸透,*,*,*,NNG,*,F,침투,*,*,*,*,*
浸透,*,*,*,NNG,*,F,침투,*,*,*,*,*
浸透,*,*,*,NNG,*,F,침투,*,*,*,*,*
浸透,*,*,*,NNG,*,F,침투,*,*,*,*,*
浸透乾燥,*,*,*,NNG,*,F,침투건조,*,*,*,*,*
浸透되다,*,*,*,VV,*,F,침투되다,*,*,*,*,*
浸透되다,*,*,*,VV,*,F,침투되다,*,*,*,*,*
浸透되다,*,*,*,VV,*,F,침투되다,*,*,*,*,*
浸透되다,*,*,*,VV,*,F,침투되다,*,*,*,*,*
浸透되다,*,*,*,VV,*,F,침투되다,*,*,*,*,*
浸透力,*,*,*,NNG,*,T,침투력,*,*,*,*,*
浸透力,*,*,*,NNG,*,T,침투력,*,*,*,*,*
浸透力,*,*,*,NNG,*,T,침투력,*,*,*,*,*
浸透力,*,*,*,NNG,*,T,침투력,*,*,*,*,*
浸透壓,*,*,*,NNG,*,T,침투압,*,*,*,*,*
浸透移行性殺蟲劑,*,*,*,NNG,*,F,침투이행성살충제,*,*,*,*,*
浸透探傷法,*,*,*,NNG,*,T,침투탐상법,*,*,*,*,*
浸透하다,*,*,*,VV,*,F,침투하다,*,*,*,*,*
浸透하다,*,*,*,VV,*,F,침투하다,*,*,*,*,*
浸透하다,*,*,*,VV,*,F,침투하다,*,*,*,*,*
浸透하다,*,*,*,VV,*,F,침투하다,*,*,*,*,*
浸透하다,*,*,*,VV,*,F,침투하다,*,*,*,*,*
浸透現象,*,*,*,NNG,*,T,침투현상,*,*,*,*,*
沈波,*,*,*,NNG,*,F,침파,*,*,*,*,*
針파리,*,*,*,NNG,*,F,침파리,*,*,*,*,*
沈波船,*,*,*,NNG,*,T,침파선,*,*,*,*,*
沈波하다,*,*,*,VV,*,F,침파하다,*,*,*,*,*
針板,*,*,*,NNG,*,T,침판,*,*,*,*,*
侵暴,*,*,*,NNG,*,F,침포,*,*,*,*,*
針布,*,*,*,NNG,*,F,침포,*,*,*,*,*
侵暴하다,*,*,*,VV,*,F,침포하다,*,*,*,*,*
侵逼,*,*,*,NNG,*,T,침핍,*,*,*,*,*
侵逼하다,*,*,*,VV,*,F,침핍하다,*,*,*,*,*
沈下,*,*,*,NNG,*,F,침하,*,*,*,*,*
沈下,*,*,*,NNG,*,F,침하,*,*,*,*,*
沈下,*,*,*,NNG,*,F,침하,*,*,*,*,*
沈下量,*,*,*,NNG,*,T,침하량,*,*,*,*,*
沈下安定地面,*,*,*,NNG,*,T,침하안정지면,*,*,*,*,*
沈下率,*,*,*,NNG,*,T,침하율,*,*,*,*,*
沈下하다,*,*,*,VV,*,F,침하하다,*,*,*,*,*
沈下하다,*,*,*,VV,*,F,침하하다,*,*,*,*,*
沈下하다,*,*,*,VV,*,F,침하하다,*,*,*,*,*
侵虐,*,*,*,NNG,*,T,침학,*,*,*,*,*
侵虐하다,*,*,*,VV,*,F,침학하다,*,*,*,*,*
寢汗,*,*,*,NNG,*,T,침한,*,*,*,*,*
沈寒痼冷,*,*,*,NNG,*,T,침한고랭,*,*,*,*,*
侵害,*,*,*,NNG,*,F,침해,*,*,*,*,*
侵害犯,*,*,*,NNG,*,T,침해범,*,*,*,*,*
侵害하다,*,*,*,VV,*,F,침해하다,*,*,*,*,*
沈香,*,*,*,NNG,*,T,침향,*,*,*,*,*
沈香,*,*,*,NNG,*,T,침향,*,*,*,*,*
枕向,*,*,*,NNG,*,T,침향,*,*,*,*,*
沈香나무,*,*,*,NNG,*,F,침향나무,*,*,*,*,*
沈香山,*,*,*,NNG,*,T,침향산,*,*,*,*,*
沈香色,*,*,*,NNG,*,T,침향색,*,*,*,*,*
沈香春,*,*,*,NNG,*,T,침향춘,*,*,*,*,*
鍼穴,*,*,*,NNG,*,T,침혈,*,*,*,*,*
針形,*,*,*,NNG,*,T,침형,*,*,*,*,*
針形,*,*,*,NNG,*,T,침형,*,*,*,*,*
沈惑,*,*,*,NNG,*,T,침혹,*,*,*,*,*
沈惑되다,*,*,*,VV,*,F,침혹되다,*,*,*,*,*
沈惑하다,*,*,*,VV,*,F,침혹하다,*,*,*,*,*
針闊,*,*,*,NNG,*,T,침활,*,*,*,*,*
沈厚,*,*,*,NNG,*,F,침후,*,*,*,*,*
沈厚하다,*,*,*,VA,*,F,침후하다,*,*,*,*,*
侵毁,*,*,*,NNG,*,F,침훼,*,*,*,*,*
侵毁하다,*,*,*,VV,*,F,침훼하다,*,*,*,*,*
침흘림症,*,*,*,NNG,*,T,침흘림증,*,*,*,*,*
蟄居,*,*,*,NNG,*,F,칩거,*,*,*,*,*
蟄居하다,*,*,*,VV,*,F,칩거하다,*,*,*,*,*
蟄龍,*,*,*,NNG,*,T,칩룡,*,*,*,*,*
蟄伏,*,*,*,NNG,*,T,칩복,*,*,*,*,*
蟄伏,*,*,*,NNG,*,T,칩복,*,*,*,*,*
蟄伏하다,*,*,*,VV,*,F,칩복하다,*,*,*,*,*
蟄伏하다,*,*,*,VV,*,F,칩복하다,*,*,*,*,*
蟄獸,*,*,*,NNG,*,F,칩수,*,*,*,*,*
蟄藏,*,*,*,NNG,*,T,칩장,*,*,*,*,*
蟄藏하다,*,*,*,VV,*,F,칩장하다,*,*,*,*,*
蟄蟲,*,*,*,NNG,*,T,칩충,*,*,*,*,*
齒솔,*,*,*,NNG,*,T,칫솔,*,*,*,*,*
齒솔匣,*,*,*,NNG,*,T,칫솔갑,*,*,*,*,*
齒솔대,*,*,*,NNG,*,F,칫솔대,*,*,*,*,*
齒솔질,*,*,*,NNG,*,T,칫솔질,*,*,*,*,*
齒솔질하다,*,*,*,VV,*,F,칫솔질하다,*,*,*,*,*
秤,*,*,*,NNB,*,T,칭,*,*,*,*,*
稱,*,*,*,NNG,*,T,칭,*,*,*,*,*
秤家有無,*,*,*,NNG,*,F,칭가유무,*,*,*,*,*
秤家有無하다,*,*,*,VV,*,F,칭가유무하다,*,*,*,*,*
稱擧,*,*,*,NNG,*,F,칭거,*,*,*,*,*
稱擧하다,*,*,*,VV,*,F,칭거하다,*,*,*,*,*
稱格,*,*,*,NNG,*,T,칭격,*,*,*,*,*
稱慶,*,*,*,NNG,*,T,칭경,*,*,*,*,*
稱慶하다,*,*,*,VV,*,F,칭경하다,*,*,*,*,*
稱觥,*,*,*,NNG,*,T,칭굉,*,*,*,*,*
稱觥하다,*,*,*,VV,*,F,칭굉하다,*,*,*,*,*
稱屈,*,*,*,NNG,*,T,칭굴,*,*,*,*,*
稱屈하다,*,*,*,VV,*,F,칭굴하다,*,*,*,*,*
稱念,*,*,*,NNG,*,T,칭념,*,*,*,*,*
稱念하다,*,*,*,VV,*,F,칭념하다,*,*,*,*,*
稱當,*,*,*,NNG,*,T,칭당,*,*,*,*,*
稱當하다,*,*,*,VA,*,F,칭당하다,*,*,*,*,*
稱貸,*,*,*,NNG,*,F,칭대,*,*,*,*,*
稱貸하다,*,*,*,VV,*,F,칭대하다,*,*,*,*,*
稱德,*,*,*,NNG,*,T,칭덕,*,*,*,*,*
稱德하다,*,*,*,VV,*,F,칭덕하다,*,*,*,*,*
稱道,*,*,*,NNG,*,F,칭도,*,*,*,*,*
稱道하다,*,*,*,VV,*,F,칭도하다,*,*,*,*,*
秤動,*,*,*,NNG,*,T,칭동,*,*,*,*,*
秤動,*,*,*,NNG,*,T,칭동,*,*,*,*,*
稱量,*,*,*,NNG,*,T,칭량,*,*,*,*,*
秤量,*,*,*,NNG,*,T,칭량,*,*,*,*,*
稱量,*,*,*,NNG,*,T,칭량,*,*,*,*,*
秤量,*,*,*,NNG,*,T,칭량,*,*,*,*,*
秤量管,*,*,*,NNG,*,T,칭량관,*,*,*,*,*
秤量甁,*,*,*,NNG,*,T,칭량병,*,*,*,*,*
秤量burette,*,*,*,NNG,*,T,칭량뷰렛,*,*,*,*,*
秤量하다,*,*,*,VV,*,F,칭량하다,*,*,*,*,*
秤量하다,*,*,*,VV,*,F,칭량하다,*,*,*,*,*
稱量하다,*,*,*,VV,*,F,칭량하다,*,*,*,*,*
稱量하다,*,*,*,VV,*,F,칭량하다,*,*,*,*,*
秤量貨幣,*,*,*,NNG,*,F,칭량화폐,*,*,*,*,*
稱名,*,*,*,NNG,*,T,칭명,*,*,*,*,*
稱名,*,*,*,NNG,*,T,칭명,*,*,*,*,*
稱名,*,*,*,NNG,*,T,칭명,*,*,*,*,*
稱名念佛,*,*,*,NNG,*,T,칭명염불,*,*,*,*,*
稱名하다,*,*,*,VV,*,F,칭명하다,*,*,*,*,*
稱名하다,*,*,*,VV,*,F,칭명하다,*,*,*,*,*
稱名하다,*,*,*,VV,*,F,칭명하다,*,*,*,*,*
稱慕,*,*,*,NNG,*,F,칭모,*,*,*,*,*
稱慕하다,*,*,*,VV,*,F,칭모하다,*,*,*,*,*
稱美,*,*,*,NNG,*,F,칭미,*,*,*,*,*
稱美하다,*,*,*,VV,*,F,칭미하다,*,*,*,*,*
稱病,*,*,*,NNG,*,T,칭병,*,*,*,*,*
稱病不出,*,*,*,NNG,*,T,칭병불출,*,*,*,*,*
稱病辭職,*,*,*,NNG,*,T,칭병사직,*,*,*,*,*
稱病辭職하다,*,*,*,VV,*,F,칭병사직하다,*,*,*,*,*
稱病하다,*,*,*,VV,*,F,칭병하다,*,*,*,*,*
稱謝,*,*,*,NNG,*,F,칭사,*,*,*,*,*
稱辭,*,*,*,NNG,*,F,칭사,*,*,*,*,*
稱辭하다,*,*,*,VV,*,F,칭사하다,*,*,*,*,*
稱賞,*,*,*,NNG,*,T,칭상,*,*,*,*,*
稱觴,*,*,*,NNG,*,T,칭상,*,*,*,*,*
稱賞하다,*,*,*,VV,*,F,칭상하다,*,*,*,*,*
稱觴하다,*,*,*,VV,*,F,칭상하다,*,*,*,*,*
稱石,*,*,*,NNG,*,T,칭석,*,*,*,*,*
稱善,*,*,*,NNG,*,T,칭선,*,*,*,*,*
稱善하다,*,*,*,VV,*,F,칭선하다,*,*,*,*,*
稱說,*,*,*,NNG,*,T,칭설,*,*,*,*,*
稱說하다,*,*,*,VV,*,F,칭설하다,*,*,*,*,*
稱頌,*,*,*,NNG,*,T,칭송,*,*,*,*,*
稱誦,*,*,*,NNG,*,T,칭송,*,*,*,*,*
稱頌되다,*,*,*,VV,*,F,칭송되다,*,*,*,*,*
稱誦되다,*,*,*,VV,*,F,칭송되다,*,*,*,*,*
稱頌하다,*,*,*,VV,*,F,칭송하다,*,*,*,*,*
稱誦하다,*,*,*,VV,*,F,칭송하다,*,*,*,*,*
稱首,*,*,*,NNG,*,F,칭수,*,*,*,*,*
稱首,*,*,*,NNG,*,F,칭수,*,*,*,*,*
稱首하다,*,*,*,VV,*,F,칭수하다,*,*,*,*,*
稱述,*,*,*,NNG,*,T,칭술,*,*,*,*,*
稱述하다,*,*,*,VV,*,F,칭술하다,*,*,*,*,*
稱臣,*,*,*,NNG,*,T,칭신,*,*,*,*,*
稱臣,*,*,*,NNG,*,T,칭신,*,*,*,*,*
秤神判,*,*,*,NNG,*,T,칭신판,*,*,*,*,*
稱臣하다,*,*,*,VV,*,F,칭신하다,*,*,*,*,*
稱臣하다,*,*,*,VV,*,F,칭신하다,*,*,*,*,*
稱揚,*,*,*,NNG,*,T,칭양,*,*,*,*,*
稱揚하다,*,*,*,VV,*,F,칭양하다,*,*,*,*,*
稱譽,*,*,*,NNG,*,F,칭예,*,*,*,*,*
稱譽하다,*,*,*,VV,*,F,칭예하다,*,*,*,*,*
稱雄,*,*,*,NNG,*,T,칭웅,*,*,*,*,*
稱雄하다,*,*,*,VV,*,F,칭웅하다,*,*,*,*,*
稱冤,*,*,*,NNG,*,T,칭원,*,*,*,*,*
稱冤하다,*,*,*,VV,*,F,칭원하다,*,*,*,*,*
稱謂,*,*,*,NNG,*,F,칭위,*,*,*,*,*
稱謂,*,*,*,NNG,*,F,칭위,*,*,*,*,*
稱謂,*,*,*,NNG,*,F,칭위,*,*,*,*,*
稱謂하다,*,*,*,VV,*,F,칭위하다,*,*,*,*,*
秤子,*,*,*,NNG,*,F,칭자,*,*,*,*,*
稱子匠,*,*,*,NNG,*,T,칭자장,*,*,*,*,*
稱情,*,*,*,NNG,*,T,칭정,*,*,*,*,*
稱情하다,*,*,*,VV,*,F,칭정하다,*,*,*,*,*
稱帝,*,*,*,NNG,*,F,칭제,*,*,*,*,*
稱帝하다,*,*,*,VV,*,F,칭제하다,*,*,*,*,*
稱職,*,*,*,NNG,*,T,칭직,*,*,*,*,*
稱職하다,*,*,*,VA,*,F,칭직하다,*,*,*,*,*
稱疾,*,*,*,NNG,*,T,칭질,*,*,*,*,*
稱疾하다,*,*,*,VV,*,F,칭질하다,*,*,*,*,*
稱讚,*,*,*,NNG,*,T,칭찬,*,*,*,*,*
稱讚하다,*,*,*,VV,*,F,칭찬하다,*,*,*,*,*
秤錘,*,*,*,NNG,*,F,칭추,*,*,*,*,*
稱託,*,*,*,NNG,*,T,칭탁,*,*,*,*,*
稱託하다,*,*,*,VV,*,F,칭탁하다,*,*,*,*,*
稱嘆,*,*,*,NNG,*,T,칭탄,*,*,*,*,*
稱歎,*,*,*,NNG,*,T,칭탄,*,*,*,*,*
稱嘆하다,*,*,*,VV,*,F,칭탄하다,*,*,*,*,*
稱歎하다,*,*,*,VV,*,F,칭탄하다,*,*,*,*,*
稱頉,*,*,*,NNG,*,T,칭탈,*,*,*,*,*
稱頉하다,*,*,*,VV,*,F,칭탈하다,*,*,*,*,*
秤板,*,*,*,NNG,*,T,칭판,*,*,*,*,*
稱하다,*,*,*,VV,*,F,칭하다,*,*,*,*,*
靑海省,*,*,*,NNG,*,T,칭하이성,*,*,*,*,*
靑海湖,*,*,*,NNG,*,F,칭하이호,*,*,*,*,*
稱號,*,*,*,NNG,*,F,칭호,*,*,*,*,*
Cagayan江,*,*,*,NNG,*,T,카가얀강,*,*,*,*,*
canaria椰子,*,*,*,NNG,*,F,카나리아야자,*,*,*,*,*
Canaria諸島,*,*,*,NNG,*,F,카나리아제도,*,*,*,*,*
Canaria海流,*,*,*,NNG,*,F,카나리아해류,*,*,*,*,*
Canary諸島,*,*,*,NNG,*,F,카나리제도,*,*,*,*,*
Canossa의屈辱,*,*,*,NNG,*,T,카노사의굴욕,*,*,*,*,*
canon法,*,*,*,NNG,*,T,카논법,*,*,*,*,*
canon砲,*,*,*,NNG,*,F,카농포,*,*,*,*,*
canoe競技,*,*,*,NNG,*,F,카누경기,*,*,*,*,*
card값,*,*,*,NNG,*,T,카드값,*,*,*,*,*
card檢孔機,*,*,*,NNG,*,F,카드검공기,*,*,*,*,*
card檢査,*,*,*,NNG,*,F,카드검사,*,*,*,*,*
card階級,*,*,*,NNG,*,T,카드계급,*,*,*,*,*
card機,*,*,*,NNG,*,F,카드기,*,*,*,*,*
card깡,*,*,*,NNG,*,T,카드깡,*,*,*,*,*
card놀이,*,*,*,NNG,*,F,카드놀이,*,*,*,*,*
cadmium公害,*,*,*,NNG,*,F,카드뮴공해,*,*,*,*,*
cadmium燈,*,*,*,NNG,*,T,카드뮴등,*,*,*,*,*
cadmium酸化銀電池,*,*,*,NNG,*,F,카드뮴산화은전지,*,*,*,*,*
cadmium冶金學,*,*,*,NNG,*,T,카드뮴야금학,*,*,*,*,*
cadmium中毒,*,*,*,NNG,*,T,카드뮴중독,*,*,*,*,*
cadmium蓄電池,*,*,*,NNG,*,F,카드뮴축전지,*,*,*,*,*
cadmium標準電池,*,*,*,NNG,*,F,카드뮴표준전지,*,*,*,*,*
cadmium黃,*,*,*,NNG,*,T,카드뮴황,*,*,*,*,*
card社,*,*,*,NNG,*,F,카드사,*,*,*,*,*
card穿孔機,*,*,*,NNG,*,F,카드천공기,*,*,*,*,*
card判讀機,*,*,*,NNG,*,F,카드판독기,*,*,*,*,*
Carara大理石,*,*,*,NNG,*,T,카라라대리석,*,*,*,*,*
Karamazov家의兄弟들,*,*,*,NNG,*,T,카라마조프가의 형제들,*,*,*,*,*
Kara-Bogaz-Gol灣,*,*,*,NNG,*,T,카라보가스골만,*,*,*,*,*
Caracas會議,*,*,*,NNG,*,F,카라카스회의,*,*,*,*,*
Caracalla浴湯,*,*,*,NNG,*,T,카라칼라욕탕,*,*,*,*,*
Karakoram고개,*,*,*,NNG,*,F,카라코람고개,*,*,*,*,*
Karakoram山脈,*,*,*,NNG,*,T,카라코람산맥,*,*,*,*,*
Kara-Kum沙漠,*,*,*,NNG,*,T,카라쿰사막,*,*,*,*,*
Kara-Kum運河,*,*,*,NNG,*,F,카라쿰운하,*,*,*,*,*
Karakhan宣言,*,*,*,NNG,*,T,카라한선언,*,*,*,*,*
Karakhan王朝,*,*,*,NNG,*,F,카라한왕조,*,*,*,*,*
Karakhan朝,*,*,*,NNG,*,F,카라한조,*,*,*,*,*
Karen語,*,*,*,NNG,*,F,카렌어,*,*,*,*,*
Karen人,*,*,*,NNG,*,T,카렌인,*,*,*,*,*
Karen族,*,*,*,NNG,*,T,카렌족,*,*,*,*,*
Karel大學,*,*,*,NNG,*,T,카렐대학,*,*,*,*,*
Karelia人,*,*,*,NNG,*,T,카렐리아인,*,*,*,*,*
Karelia族,*,*,*,NNG,*,T,카렐리아족,*,*,*,*,*
Kareliya地峽,*,*,*,NNG,*,T,카렐리야지협,*,*,*,*,*
Kharoṣṭhī文字,*,*,*,NNG,*,F,카로슈티문자,*,*,*,*,*
carotene血症,*,*,*,NNG,*,T,카로틴혈증,*,*,*,*,*
Carolus一世,*,*,*,NNP,*,F,카롤루스 일세,*,*,*,*,*
Carolus大帝,*,*,*,NNP,*,F,카롤루스대제,*,*,*,*,*
Carolinger王朝,*,*,*,NNG,*,F,카롤링거왕조,*,*,*,*,*
Carolinger王朝Renaissance,*,*,*,NNG,*,F,카롤링거왕조르네상스,*,*,*,*,*
Kārūn江,*,*,*,NNG,*,T,카룬강,*,*,*,*,*
carnauba蠟,*,*,*,NNG,*,T,카르나우바납,*,*,*,*,*
Karnak神殿,*,*,*,NNG,*,T,카르나크신전,*,*,*,*,*
Carnac列石,*,*,*,NNG,*,T,카르나크열석,*,*,*,*,*
Karnataka州,*,*,*,NNG,*,F,카르나타카주,*,*,*,*,*
Carnot鑛,*,*,*,NNG,*,T,카르노광,*,*,*,*,*
Carnot機關,*,*,*,NNG,*,T,카르노기관,*,*,*,*,*
Carnot石,*,*,*,NNG,*,T,카르노석,*,*,*,*,*
Carnot循環,*,*,*,NNG,*,T,카르노순환,*,*,*,*,*
Carnot의定理,*,*,*,NNG,*,F,카르노의정리,*,*,*,*,*
Carnot效率,*,*,*,NNG,*,T,카르노효율,*,*,*,*,*
Kārmán소용돌이,*,*,*,NNG,*,F,카르만소용돌이,*,*,*,*,*
Carmel山,*,*,*,NNG,*,T,카르멜산,*,*,*,*,*
Carmel山遺跡,*,*,*,NNG,*,T,카르멜산유적,*,*,*,*,*
Carmel會,*,*,*,NNG,*,F,카르멜회,*,*,*,*,*
carbamate劑,*,*,*,NNG,*,F,카르바메이트제,*,*,*,*,*
carbamin酸,*,*,*,NNG,*,T,카르바민산,*,*,*,*,*
carbamyl基,*,*,*,NNG,*,F,카르바밀기,*,*,*,*,*
Karbala州,*,*,*,NNG,*,F,카르발라주,*,*,*,*,*
←carbamic酸,*,*,*,NNG,*,T,카르밤산,*,*,*,*,*
←carbamic酸ammonium,*,*,*,NNG,*,T,카르밤산암모늄,*,*,*,*,*
Carbonari黨,*,*,*,NNG,*,T,카르보나리당,*,*,*,*,*
carbonyl基,*,*,*,NNG,*,F,카르보닐기,*,*,*,*,*
carbonyl法,*,*,*,NNG,*,T,카르보닐법,*,*,*,*,*
carbonyl鐵,*,*,*,NNG,*,T,카르보닐철,*,*,*,*,*
carbonyl化合物,*,*,*,NNG,*,T,카르보닐화합물,*,*,*,*,*
carbo陽ion,*,*,*,NNG,*,T,카르보양이온,*,*,*,*,*
carbo陰ion,*,*,*,NNG,*,T,카르보음이온,*,*,*,*,*
carboxy基,*,*,*,NNG,*,F,카르복시기,*,*,*,*,*
carboxy末端peptide加水分解酵素,*,*,*,NNG,*,F,카르복시말단펩티드가수분해효소,*,*,*,*,*
carboxy酸,*,*,*,NNG,*,T,카르복시산,*,*,*,*,*
carboxy離脫反應,*,*,*,NNG,*,T,카르복시이탈반응,*,*,*,*,*
carboxyl基,*,*,*,NNG,*,F,카르복실기,*,*,*,*,*
carboxyl化反應,*,*,*,NNG,*,T,카르복실화반응,*,*,*,*,*
Karbon酸,*,*,*,NNG,*,T,카르본산,*,*,*,*,*
carbylamine反應,*,*,*,NNG,*,T,카르빌아민반응,*,*,*,*,*
Carcel燈,*,*,*,NNG,*,T,카르셀등,*,*,*,*,*
Karskoye海,*,*,*,NNG,*,F,카르스코예해,*,*,*,*,*
Karst地形,*,*,*,NNG,*,T,카르스트지형,*,*,*,*,*
Kartell關稅,*,*,*,NNG,*,F,카르텔관세,*,*,*,*,*
cartel船,*,*,*,NNG,*,T,카르텔선,*,*,*,*,*
Carpato山脈,*,*,*,NNG,*,T,카르파토산맥,*,*,*,*,*
Carpathia山脈,*,*,*,NNG,*,T,카르파티아산맥,*,*,*,*,*
Kar湖,*,*,*,NNG,*,F,카르호,*,*,*,*,*
Karl四世,*,*,*,NNP,*,F,카를 사세,*,*,*,*,*
Karl三世,*,*,*,NNP,*,F,카를 삼세,*,*,*,*,*
Karl十四世,*,*,*,NNP,*,F,카를 십사세,*,*,*,*,*
Karl五世,*,*,*,NNP,*,F,카를 오세,*,*,*,*,*
Karl六世,*,*,*,NNP,*,F,카를 육세,*,*,*,*,*
Karl二世,*,*,*,NNP,*,F,카를 이세,*,*,*,*,*
Karl一世,*,*,*,NNP,*,F,카를 일세,*,*,*,*,*
Karl七世,*,*,*,NNP,*,F,카를 칠세,*,*,*,*,*
Karl-Fischer試藥,*,*,*,NNG,*,T,카를·피셔시약,*,*,*,*,*
Karl大帝,*,*,*,NNP,*,F,카를대제,*,*,*,*,*
Karlovy Vary宣言,*,*,*,NNG,*,T,카를로비바리선언,*,*,*,*,*
Carib共同體,*,*,*,NNG,*,F,카리브공동체,*,*,*,*,*
Carib族,*,*,*,NNG,*,T,카리브족,*,*,*,*,*
Carib海,*,*,*,NNG,*,F,카리브해,*,*,*,*,*
Carib海바다소,*,*,*,NNG,*,F,카리브해바다소,*,*,*,*,*
Carib海政策,*,*,*,NNG,*,T,카리브해정책,*,*,*,*,*
charisma的,*,*,*,MM,*,T,카리스마적,*,*,*,*,*
charisma的,*,*,*,NNG,*,T,카리스마적,*,*,*,*,*
Kariera族,*,*,*,NNG,*,T,카리에라족,*,*,*,*,*
Carius法,*,*,*,NNG,*,T,카리우스법,*,*,*,*,*
Kama江,*,*,*,NNG,*,T,카마강,*,*,*,*,*
Kamaran섬,*,*,*,NNG,*,T,카마란섬,*,*,*,*,*
