hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
也,도,18,26664,599,-1.277
謂,어늘,30,5258,5066,-1.278
皆,아,19,5714,2954,-1.278
禮,하라,3,3359,794,-1.279
世,할새,4,3916,908,-1.279
軍,로되,7,3184,1954,-1.279
于,에,114,4860,20869,-1.281
世,하면,5,3916,1137,-1.282
民,아,12,3618,2954,-1.282
今,라가,8,5115,1394,-1.283
今,리라,5,5115,872,-1.284
天,하라,8,9000,794,-1.286
必,하면,5,3926,1137,-1.286
人,하니이다,17,19215,791,-1.288
于,니라,23,4860,4236,-1.289
民,하노라,3,3618,743,-1.291
是,하여는,6,7292,738,-1.292
五,한대,9,3226,2501,-1.292
以,호대,30,34619,778,-1.294
不,하여는,30,36502,738,-1.294
侯,라,141,4218,30042,-1.295
乎,하면,5,3952,1137,-1.295
將,하니라,16,5323,2711,-1.3
非,러라,6,4326,1251,-1.3
公,하니이다,10,11407,791,-1.301
兵,잇가,3,4184,647,-1.301
士,오,10,4026,2241,-1.301
君,할새,7,6963,908,-1.302
然,로,52,6302,7466,-1.305
使,나,41,7315,5073,-1.305
乎,하여,168,3952,38494,-1.306
明,라가,5,3261,1394,-1.312
于,면,44,4860,8230,-1.312
年,를,20,6075,2996,-1.313
時,잇가,3,4223,647,-1.314
五,니라,15,3226,4236,-1.315
自,와,20,7614,2395,-1.316
王,니이다,43,8165,4802,-1.316
一,로다,8,7673,952,-1.318
書,로다,5,4799,952,-1.319
于,며,4,4860,752,-1.319
王,오,20,8165,2241,-1.321
侯,요,37,4218,8043,-1.324
五,하면,4,3226,1137,-1.324
軍,리오,7,3184,2019,-1.326
公,면,102,11407,8230,-1.33
從,에,75,3309,20869,-1.33
時,리라,4,4223,872,-1.33
中,어든,5,5639,817,-1.331
月,하니,94,4062,21328,-1.331
有,하라,14,16242,794,-1.331
吾,하며,14,3686,3517,-1.338
則,하니라,28,9567,2711,-1.339
子,하면,21,17119,1137,-1.34
故,아,22,6906,2954,-1.34
至,로,53,6585,7466,-1.341
可,하니라,27,9245,2711,-1.342
有,하노라,13,16242,743,-1.342
而,에,802,35709,20869,-1.343
不,한대,98,36502,2501,-1.347
上,라하니라,4,5497,678,-1.347
州,엔,3,3948,708,-1.347
夫,하면,7,5744,1137,-1.349
有,오,39,16242,2241,-1.35
下,하다,140,10574,12378,-1.352
師,아,11,3481,2954,-1.352
