book_name,sentence_id,pa_cluster,sa_dominant_cluster,sa_cluster_diversity,sa_phrase_count
맹자집주,1430,3,7,1,2
맹자집주,1431,3,3,1,1
맹자집주,1432,3,3,1,1
맹자집주,1433,3,3,1,1
맹자집주,1434,3,0,1,1
맹자집주,1435,3,3,1,1
맹자집주,1445,3,1,1,1
맹자집주,1446,3,3,1,1
맹자집주,1447,3,0,1,1
맹자집주,1448,3,3,1,1
맹자집주,1450,3,0,1,1
맹자집주,1451,3,1,1,1
맹자집주,1452,3,1,1,1
맹자집주,1453,3,3,1,1
맹자집주,1454,3,0,2,4
맹자집주,1460,3,3,1,1
맹자집주,1485,3,0,1,1
맹자집주,1486,3,0,1,1
맹자집주,1487,3,2,2,4
맹자집주,1488,3,3,1,1
맹자집주,1489,3,3,1,1
맹자집주,1499,3,0,1,3
맹자집주,1512,3,0,1,1
맹자집주,1574,3,3,1,1
맹자집주,1575,3,1,1,1
맹자집주,1576,3,0,1,1
맹자집주,1577,3,3,1,1
맹자집주,1578,3,0,3,6
맹자집주,1585,3,0,1,1
맹자집주,1586,3,3,1,1
맹자집주,1588,3,0,1,2
맹자집주,1589,3,3,2,3
맹자집주,1590,3,0,1,1
맹자집주,1603,3,0,1,1
